batch,episode_len,kl,lr_multiplier,loss,entropy,explained_var_old,explained_var_new
339,10,0.02124,0.444,2.1628,1.6994,0.386,0.502
340,7,0.03006,0.444,2.1392,1.6313,0.431,0.531
341,14,0.03218,0.444,2.0976,1.6054,0.41,0.501
342,15,0.03338,0.444,2.1858,1.6818,0.406,0.496
343,9,0.03827,0.444,2.2364,1.6937,0.417,0.503
344,11,0.02783,0.444,2.1159,1.7206,0.46,0.538
345,7,0.03007,0.444,2.2111,1.6726,0.444,0.522
346,12,0.02447,0.444,2.1687,1.6571,0.449,0.528
347,10,0.01951,0.444,2.1378,1.6477,0.41,0.504
348,7,0.02744,0.444,2.1476,1.7283,0.47,0.559
349,15,0.02611,0.444,2.1405,1.6646,0.427,0.534
350,11,0.03156,0.444,2.1251,1.6944,0.454,0.535
351,13,0.02906,0.444,2.0891,1.6632,0.446,0.525
352,7,0.02978,0.444,2.1335,1.5922,0.42,0.533
353,8,0.02456,0.444,2.0414,1.6401,0.493,0.587
354,17,0.02515,0.444,2.1689,1.6266,0.395,0.487
355,10,0.02206,0.444,2.1339,1.628,0.404,0.497
356,7,0.02232,0.444,1.9881,1.6079,0.497,0.583
357,9,0.03214,0.444,2.1565,1.702,0.437,0.549
358,7,0.02367,0.444,2.238,1.7252,0.386,0.493
359,21,0.03152,0.444,2.203,1.6003,0.368,0.434
360,11,0.02889,0.444,2.1128,1.6744,0.468,0.57
361,13,0.04096,0.296,2.0816,1.6972,0.488,0.572
362,8,0.0224,0.296,2.0972,1.5976,0.433,0.513
363,15,0.01984,0.296,2.141,1.612,0.424,0.494
364,7,0.02238,0.296,2.15,1.6883,0.457,0.521
365,11,0.01572,0.296,2.1991,1.6716,0.424,0.484
366,11,0.02388,0.296,2.0982,1.6555,0.47,0.535
367,13,0.01265,0.296,2.1224,1.6359,0.446,0.526
368,7,0.01948,0.296,2.0137,1.6133,0.519,0.617
369,8,0.01463,0.296,2.1672,1.663,0.443,0.499
370,8,0.01562,0.296,2.0979,1.6568,0.518,0.585
371,10,0.01033,0.296,2.1705,1.6788,0.427,0.514
372,9,0.01502,0.296,2.1946,1.7159,0.445,0.514
